file,S47_PH1:S47_SNARES,S47_PH1:STX3_SNARE,S47_PH1:S47_PH2,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARES
fold_2025_03_28_13_31_rt_stx3_s47_1_model_0.cif,42.24,0,603.28,449.04,442.87
fold_2025_03_28_13_34_rt_stx3_s47_2_model_0.cif,23.47,358.04,622,68.66,258.98
fold_2025_03_28_13_39_rt_stx3_s47_3_model_0.cif,42.6,468.15,598.62,105.61,215.58
fold_2025_03_28_13_40_rt_stx3_s47_4_model_0.cif,42.17,403.1,677.89,48.5,191.81
fold_2025_03_28_13_48_rt_stx3_s47_5_model_0.cif,66.97,82.05,989.26,379.53,287.29
fold_2025_03_28_13_48_rt_stx3_s47_6_model_0.cif,81.14,416.02,638.74,0,95.93
fold_2025_03_28_13_48_rt_stx3_s47_7_model_0.cif,40.14,342.45,618.28,10.88,223.12
fold_2025_03_28_13_51_rt_stx3_s47_8_model_0.cif,52.04,425.34,613.5,115.05,227.3
fold_2025_03_28_13_53_rt_stx3_s47_10_model_0.cif,56.87,407.3,616.07,48.24,171.07
fold_2025_03_28_13_53_rt_stx3_s47_11_model_0.cif,0,263.3,615,74.44,361.56
fold_2025_03_28_13_53_rt_stx3_s47_9_model_0.cif,58.18,486.81,636.37,123.12,292.45
fold_2025_03_28_13_56_rt_stx3_s47_12_model_0.cif,65.53,427.64,601.92,64.08,283.23
fold_2025_03_28_13_56_rt_stx3_s47_13_model_0.cif,47.6,411.14,618.63,98.25,295.41
fold_2025_03_28_13_56_rt_stx3_s47_14_model_0.cif,97.73,437.18,651,79.76,233.54
fold_2025_03_28_14_00_rt_stx3_s47_15_model_0.cif,42.86,346.09,602.41,36.03,262.8
fold_2025_03_28_14_00_rt_stx3_s47_16_model_0.cif,31.16,358.12,603.38,31.96,248.51
fold_2025_03_28_14_00_rt_stx3_s47_17_model_0.cif,0,0,672.19,416.97,364.81
fold_2025_03_28_14_03_rt_stx3_s47_18_model_0.cif,8.27,0,602.64,461.3,366.66
fold_2025_03_28_14_03_rt_stx3_s47_19_model_0.cif,53.13,378.01,607.57,3.76,188.57
fold_2025_03_28_14_03_rt_stx3_s47_20_model_0.cif,44.12,382.45,628.52,0,319.24
fold_2025_03_28_14_07_rt_stx3_s47_21_model_0.cif,65.1,413.26,601.22,13.27,153.28
fold_2025_03_28_14_07_rt_stx3_s47_22_model_0.cif,24.5,270.26,648.2,4.1,230.51
fold_2025_03_28_14_09_rt_stx3_s47_23_model_0.cif,49.15,371.37,730.02,54.11,260.19
fold_2025_03_28_14_09_rt_stx3_s47_24_model_0.cif,49.64,314.55,654.09,12.94,153.87
fold_2025_03_28_14_09_rt_stx3_s47_25_model_0.cif,7.97,408.69,604.23,85.09,202.11
fold_2025_04_11_14_20_rt_stx3_s47_26_model_0.cif,0,0,605.57,460.16,305.59
fold_2025_04_11_14_21_rt_stx3_s47_27_model_0.cif,55.08,344.7,626.52,29.4,170.05
fold_2025_04_11_14_21_rt_stx3_s47_28_model_0.cif,40.22,350.34,625.51,13.55,132.7
fold_2025_04_11_14_22_rt_stx3_s47_29_model_0.cif,59.93,446.45,616.54,61.75,259.41
fold_2025_04_11_14_22_rt_stx3_s47_30_model_0.cif,70.11,283.8,601.67,6.51,175.59
fold_2025_04_11_14_26_rt_stx3_s47_31_model_0.cif,34.65,396.76,608.44,106.76,267.76
fold_2025_04_11_14_26_rt_stx3_s47_32_model_0.cif,0,0,651.76,459.49,357.7
fold_2025_04_11_14_26_rt_stx3_s47_33_model_0.cif,46.28,174.48,819.21,0,199.13
fold_2025_04_11_14_26_rt_stx3_s47_34_model_0.cif,0,403.49,593.59,117.89,196.55
fold_2025_04_11_14_26_rt_stx3_s47_35_model_0.cif,462.69,371.81,611.12,0,350.82
fold_2025_04_11_14_29_rt_stx3_s47_36_model_0.cif,33.62,197.32,600.93,11.66,239.29
fold_2025_04_11_14_29_rt_stx3_s47_37_model_0.cif,34.86,468.4,679.26,89.47,235.19
fold_2025_04_11_14_29_rt_stx3_s47_38_model_0.cif,3.27,363.57,620.56,49.14,146.73
fold_2025_04_11_14_32_rt_stx3_s47_39_model_0.cif,35.41,0,610.72,397.91,360.26
fold_2025_04_11_14_32_rt_stx3_s47_40_model_0.cif,31.74,436.41,602.33,47.54,206.67
fold_2025_04_11_14_32_rt_stx3_s47_41_model_0.cif,60.9,450.68,631.43,54.14,165
fold_2025_04_11_14_36_rt_stx3_s47_42_model_0.cif,60.85,464.27,608.91,70.18,284.88
fold_2025_04_11_14_36_rt_stx3_s47_43_model_0.cif,39.84,415.67,591.13,91.08,287.56
fold_2025_04_11_14_36_rt_stx3_s47_44_model_0.cif,50.75,396.42,597.58,25.04,181.82
fold_2025_04_11_14_37_rt_stx3_s47_45_model_0.cif,127.6,310.39,651.86,3.17,240.8
fold_2025_04_11_14_40_rt_stx_s47_46_model_0.cif,29.47,474.73,630.23,124.66,209.63
fold_2025_04_11_14_40_rt_stx_s47_47_model_0.cif,1.13,369.79,603.55,135.91,218.06
fold_2025_04_11_14_40_rt_stx_s47_48_model_0.cif,59.22,385.56,599.53,7.86,259.44
fold_2025_04_11_14_41_rt_stx_s47_49_model_0.cif,58.34,491.63,620.55,93.56,217.14
fold_2025_04_11_14_42_rt_stx_s47_50_model_0.cif,77.6,397.77,632.81,81.64,302.04
fold_2025_04_11_14_42_rt_stx_s47_51_model_0.cif,88.14,446.43,627.45,13.45,205.39
fold_2025_04_11_14_52_rt_stx_s47_52_model_0.cif,67.01,298.44,612.62,11.12,185.61
fold_2025_04_11_14_52_rt_stx_s47_53_model_0.cif,120.02,418.85,624.29,3.58,204.28
fold_2025_04_11_14_52_rt_stx_s47_54_model_0.cif,47.37,438.61,620.34,86.57,211.06
fold_2025_04_11_14_52_rt_stx_s47_55_model_0.cif,33.13,379.72,591.84,58.97,210.73
fold_10_2025_05_19_09_56_model_0.cif,53.61,424.29,679.74,8.28,188.12
fold_11_2025_05_19_09_56_model_0.cif,45.45,357.71,633.33,49.52,217.31
fold_12025_05_19_09_56_model_0.cif,0,0,590.24,452.02,353.36
fold_12_2025_05_19_09_57_model_0.cif,72.26,452.12,607.1,62.69,278.69
fold_13_2025_05_19_09_57_model_0.cif,123.24,441.49,626.66,19.04,188.77
fold_14_2025_05_19_09_57_model_0.cif,31.93,274.47,590.17,8.96,139.03
fold_15_2025_05_19_09_57_model_0.cif,73.78,257.63,612.55,7.65,180.73
fold_16_2025_05_19_09_57_model_0.cif,0,446.15,648.85,112.32,250.44
fold_17_2025_05_19_09_57_model_0.cif,8.23,0,598.52,418.71,388.46
fold_2_2025_05_19_09_56_model_0.cif,43.45,399.75,598.74,106.44,298.05
fold_3_2025_05_19_09_56_model_0.cif,55.7,299.99,604.58,0,150.45
fold_4_2025_05_19_09_56_model_0.cif,41.09,394.8,608.23,130.99,314.65
fold_5_2025_05_19_09_56_model_0.cif,57.55,428.11,618.81,68.51,282.94
fold_6_2025_05_19_09_56_model_0.cif,20.84,403.36,599.21,112.82,199.57
fold_7_2025_05_19_09_56_model_0.cif,108.31,437.73,711.6,47.03,233.73
fold_8_2025_05_19_09_56_model_0.cif,41.9,386.04,655.4,23.78,257.9
fold_9_2025_05_19_09_56_model_0.cif,44.17,318.03,612.01,19.48,203.74
fold_binary_10_model_0.cif,153.82,293.97,615.88,0,187.65
fold_binary_11_model_0.cif,35.94,253.94,609.44,27.09,185.63
fold_binary_12_model_0.cif,67.83,329.31,608,20.26,176.65
fold_binary_13_model_0.cif,35.98,448.68,650.26,134.98,237.15
fold_binary_14_model_0.cif,36.14,399.54,607.94,95.34,197.58
fold_binary_15_model_0.cif,11.22,217.75,604.13,0,156.63
fold_binary_16_model_0.cif,162.94,391.21,608.8,32.68,340.19
fold_binary_17_model_0.cif,67.6,277.48,623.59,10.26,215.52
fold_binary_18_model_0.cif,47.72,433.72,617.8,53.48,244.36
fold_binary_19_model_0.cif,37.74,385.03,665.08,55.78,174.38
fold_binary_1_model_0.cif,68.95,296.43,609.09,21.62,230.46
fold_binary_20_model_0.cif,50.6,427.42,605.52,22.45,238.03
fold_binary_21_model_0.cif,0,0,614.41,477.85,405.27
fold_binary_22_model_0.cif,39.31,380.04,602.65,32.43,237.15
fold_binary_23_model_0.cif,40.87,441.39,607.35,111.29,171.94
fold_binary_24_model_0.cif,0,0,609.45,209.92,409.3
fold_binary_25_model_0.cif,30.8,308.27,640.47,19.85,222.1
fold_binary_26_model_0.cif,8.43,358.43,589.24,14.07,180.93
fold_binary_27_model_0.cif,35.02,401.14,595.92,73.68,203.74
fold_binary_28_model_0.cif,1.23,399.01,626.54,146.03,244.03
fold_binary_29_model_0.cif,12.11,279.86,657.95,13.57,184.64
fold_binary_2_model_0.cif,26.49,0,634.2,449.13,335.74
fold_binary_30_model_0.cif,35.46,433.46,634.11,121.96,212.49
fold_binary_3_model_0.cif,48.38,472.53,617.82,114.86,256.86
fold_binary_4_model_0.cif,248.64,199.05,628.71,28.74,403.46
fold_binary_5_model_0.cif,68.03,412.85,633.08,35.23,219.87
fold_binary_6_model_0.cif,89.95,369.18,606.6,9.85,174.92
fold_binary_7_model_0.cif,39.91,441.66,616.18,133.72,191.9
fold_binary_8_model_0.cif,297.28,786.63,653.16,244.41,120.77
fold_binary_9_model_0.cif,48.72,393.94,603.03,67.14,267.65
