file,S47_PH1:SYB_SNARE,S47_PH1:S47_SNARES,S47_PH1:STX3_SNARE,S47_PH1:S47_PH2,S47_PH2:SYB_SNARE,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARE
fold_10_model_0.cif,0,77.39,311.23,595,242.94,0,299.81
fold_112025_05_19_11_49_model_0.cif,0,52.13,313.58,0,0,191.74,114.73
fold_1_2025_05_19_10_11_model_0.cif,0,24.72,283.73,0,43.93,77.18,0
fold_2025_05_19_11_5012_model_0.cif,241.57,0,303.84,0,24.52,117.3,0
fold_2025_05_19_11_5013_model_0.cif,0,99.79,359.2,696.54,183.61,0,266.26
fold_2025_05_19_11_5014_model_0.cif,0,73.7,428.54,669.51,223.45,0,259.19
fold_2025_05_19_11_5015_model_0.cif,0,90.31,369.87,0,0,16.66,0
fold_2025_05_19_11_5016_model_0.cif,0,65.89,381.95,603.76,236.34,0,227.45
fold_2025_05_19_11_5017_model_0.cif,0,30.93,319.04,614.09,294.23,0,242.52
fold_2025_05_19_11_5018_model_0.cif,0,57.36,315.68,634.68,193.93,0,240.06
fold_2025_05_19_11_5019_model_0.cif,0,99.65,350.34,162.73,70.76,124.1,90.6
fold_2025_05_19_11_5020_model_0.cif,64.35,0,320.46,533.51,79.85,275.2,63.81
fold_2025_05_19_11_5121_model_0.cif,0,0,257.87,0,0,211.58,0
fold_2025_05_19_11_5122_model_0.cif,0,150.59,397.07,0,2.26,111.45,0
fold_2025_05_19_11_5223_model_0.cif,0,0,245.54,0,0,114.04,0
fold_2025_05_19_11_5224_model_0.cif,0,63.38,347.02,589.32,201.8,0,218.72
fold_2025_05_19_11_5225_model_0.cif,0,34.53,398.48,611.91,258.01,0,183.42
fold_2025_05_19_11_5226_model_0.cif,0,76.45,323.71,616.66,241.02,0,239.62
fold_2025_05_19_11_5227_model_0.cif,0,74.62,349.66,636.46,183.52,0,263.58
fold_2025_05_19_11_5228_model_0.cif,0,56.92,342.71,646.66,223.83,0,248.27
fold_2025_05_19_11_5229_model_0.cif,0,0,277,444.37,43.72,97.24,217.28
fold_2025_05_19_11_5230_model_0.cif,0,60.95,280.61,0,0,371.13,246.06
fold_2025_05_19_13_34_31_model_0.cif,0,14.05,305.18,614,277.62,0,239.05
fold_2025_05_19_13_34_32_model_0.cif,0,65.4,353.41,602.49,226.65,0,262.98
fold_2025_05_19_13_34_33_model_0.cif,0,74.2,376.94,637.45,223.16,0,281.24
fold_2025_05_19_13_34_34_model_0.cif,0,140.74,379.06,0,0,641.49,0
fold_2025_05_19_13_34_35_model_0.cif,0,4.62,308.56,0,0,91.21,160.1
fold_2_2025_05_19_10_11_model_0.cif,0,75.38,342.06,0,23.06,213.89,0
fold_3_2025_05_19_10_12_model_0.cif,0,71.9,358.52,612.27,195.98,0,247.92
fold_4_model_0.cif,0,56.3,330.56,600.61,166.16,0,237.12
fold_5_model_0.cif,0,74.35,384.72,621.64,251.93,0,249.54
fold_6_model_0.cif,0,90.23,351.68,623.05,184.5,0,269.47
fold_7_model_0.cif,0,19.79,249.51,0,110.4,114.9,0
fold_8_model_0.cif,0,16.11,313.59,0,0,0,0
fold_9_model_0.cif,0,124.98,362.01,0,0,88.45,0
fold_tertiary_10_model_0.cif,0,88,387.26,600.13,217.22,0,290.61
fold_tertiary_11_model_0.cif,0,84.54,343.69,614.72,208.86,0,273.91
fold_tertiary_12_model_0.cif,0,94.97,374.62,615.68,202.36,0,288.95
fold_tertiary_13_model_0.cif,0,80.84,349.34,602.55,213.07,0,271.1
fold_tertiary_14_model_0.cif,0,36.69,369.24,597.29,237.59,0,249.13
fold_tertiary_15_model_0.cif,0,0,0,604.9,0,164.95,313.84
fold_tertiary_16_model_0.cif,0,27.21,243.58,0,243.19,287.01,0
fold_tertiary_17_model_0.cif,0,68.55,335.76,664.86,239.86,0,277.11
fold_tertiary_18_model_0.cif,0,112.12,406.33,0,231.13,329.1,0
fold_tertiary_19_model_0.cif,0,32,209.72,0,0,193.89,252.6
fold_tertiary_1_model_0.cif,0,38.27,294.06,333.93,134.42,141.39,183.17
fold_tertiary_20_model_0.cif,0,24.62,388.89,639.96,259.38,0,192.01
fold_tertiary_21_model_0.cif,0,111.33,381.73,621.12,196.98,0,260.08
fold_tertiary_22_model_0.cif,0,55.37,330.57,0,0,0,0
fold_tertiary_23_model_0.cif,0,60.33,349.61,605.8,264.98,0,261.33
fold_tertiary_24_model_0.cif,0,14.26,272.42,124.7,113.15,72.95,195.76
fold_tertiary_25_model_0.cif,233.38,0,291.23,196.35,114.34,171.42,311.63
fold_tertiary_26_model_0.cif,0,30.6,277.54,605.36,223.2,0,273.1
fold_tertiary_27_model_0.cif,0,70.26,363.86,595.13,256.39,0,269.98
fold_tertiary_28_model_0.cif,0,75.4,380.99,600.61,206.93,0,276.44
fold_tertiary_29_model_0.cif,0,67.5,355.11,731.16,223.56,0,252.37
fold_tertiary_2_model_0.cif,0,98.71,395.56,619.07,235.69,0,281.1
fold_tertiary_30_model_0.cif,0,83.12,365.15,616.21,178.82,0,271.44
fold_tertiary_31_model_0.cif,0,42.45,435.43,621.26,287.1,0,219.23
fold_tertiary_32_model_0 copy.cif,0,33.36,322.47,629.77,254.24,0,228.65
fold_tertiary_32_model_0.cif,0,33.36,322.47,629.77,254.24,0,228.65
fold_tertiary_33_model_0.cif,0,113.6,354.39,0,0,55.25,0
fold_tertiary_34_model_0.cif,0,63.34,390.31,596.58,189.12,0,235.01
fold_tertiary_35_model_0.cif,0,59.04,313.24,593.95,211.99,0,282.96
fold_tertiary_36_model_0.cif,0,73.65,382.78,604.36,254.55,0,284.98
fold_tertiary_37_model_0.cif,0,68.66,339.91,619.58,224.15,0,279.74
fold_tertiary_38_model_0.cif,0,43.89,237.22,0,62.8,257.47,0
fold_tertiary_39_model_0.cif,0,52.62,384.31,634.51,300.54,0,245.5
fold_tertiary_3_model_0.cif,0,66.43,326.19,0,62.58,134.65,0
fold_tertiary_40_model_0.cif,0,25.58,354.5,597.42,293.15,0,226.95
fold_tertiary_41_model_0.cif,0,37.66,242.32,0,0,107.66,0
fold_tertiary_42_model_0.cif,0,54.29,195.74,679.23,184.38,0,264.55
fold_tertiary_43_model_0.cif,0,40.01,364.07,597.38,271.95,0,234.08
fold_tertiary_44_model_0.cif,0,67.83,306.48,0,0,0,0
fold_tertiary_45_model_0.cif,0,20.1,301.33,0,8.15,74.98,0
fold_tertiary_46_model_0.cif,0,89.69,422.49,603.28,212.12,0,202.1
