file,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARES,S47_PH2:SYB_SNARES,Syt:S47_SNARES,Syt:STX3_SNARES,Syt:SYB_SNARES,S47_PH1:PH2_SNARES,S47_PH1:S47_SNARES,S47_PH1:STX3_SNARES,S47_PH1:SYB_SNARES,S47_PH1:Syt_SNARES
fold_s47flcomplexin10_model_0.cif,280.94,240.74,0,498.06,24.2,258.08,230.54,0,0,0,0
fold_s47flcomplexin11_model_0.cif,227.2,252.59,0,73.88,197.47,0,258.72,0,0,0,0
fold_s47flcomplexin12_model_0.cif,417.01,198.82,0,1090.4,10.15,64.66,212.71,0,0,0,0
fold_s47flcomplexin13_model_0.cif,228.8,0,121.88,139.09,0,245.17,214.43,0,10.16,151.82,141.04
fold_s47flcomplexin14_model_0.cif,295.76,0,0,345.14,0,55.64,0,0,47.34,0,0
fold_s47flcomplexin15_model_0.cif,25.43,0,0,782.4,23.42,0,0,0,29.78,0,143.52
fold_s47flcomplexin16_model_0.cif,85.5,296.39,0,747.02,0,128.05,236.17,19.75,164.66,0,0
fold_s47flcomplexin17_model_0.cif,282.11,0,128.75,1193.2,69,112.86,0,0,29.85,0,0
fold_s47flcomplexin18_model_0.cif,594.32,0,157.68,971.31,680.9,0,0,172.54,174.12,0,638.41
fold_s47flcomplexin19_model_0.cif,18.13,178.77,0,906.5,143.9,0,271.29,0,0,0,0
fold_s47flcomplexin1_model_0.cif,183.82,280.9,0,585.31,0,320.76,264.76,0,0,0,0
fold_s47flcomplexin20_model_0.cif,10.98,0,0,858.71,341.06,0,0,110.33,170.29,0,170.61
fold_s47flcomplexin21_model_0.cif,0,263.26,0,93.3,590.52,0,282.83,95.14,124.48,0,834.34
fold_s47flcomplexin22_model_0.cif,0,55.74,0,956.51,276.6,0,233.28,0,0,0,95.58
fold_s47flcomplexin23_model_0.cif,0,113.5,4.56,911.16,596.84,0,246.13,241.75,79.78,0,628.79
fold_s47flcomplexin24_model_0.cif,23.19,221.36,0,717.83,146.47,0,200.05,0,0,0,217.8
fold_s47flcomplexin25_model_0.cif,0,0,0,1016.3,0,216.45,0,100.12,211.9,0,0
fold_s47flcomplexin26_model_0.cif,150.5,235.65,0,700.45,75.03,0,296.78,0,0,0,0
fold_s47flcomplexin27_model_0.cif,2.29,0,0,390.64,0,325.71,0,0,42.27,0,0
fold_s47flcomplexin28_model_0.cif,357.66,238.03,0,960.95,0,159.68,241.14,0,0,0,0
fold_s47flcomplexin29_model_0.cif,249.43,0,166.88,1129.6,0,285.43,0,0,38.56,0,0
fold_s47flcomplexin2_model_0.cif,71.23,0,15.79,1002.4,384.84,0,0,0,31.18,0,347.27
fold_s47flcomplexin30_model_0.cif,0,0,0,622.66,451.56,0,0,0,40.41,0,163.54
fold_s47flcomplexin31_model_0.cif,171.72,0,70.85,749.19,571.28,0,0,131.03,221.08,0,650.28
fold_s47flcomplexin32_model_0.cif,133.83,217.66,0,764.65,225.26,0,223.81,0,0,0,0
fold_s47flcomplexin33_model_0.cif,0,77.47,0,226.95,434.63,0,218.79,0,0,0,980.9
fold_s47flcomplexin34_model_0.cif,28.52,0,0,816.23,111.85,103.45,0,0,59.4,0,0
fold_s47flcomplexin35_model_0.cif,0,167.86,25.19,972.95,0,114.71,271.84,1.57,0,0,0
fold_s47flcomplexin36_model_0.cif,436.75,0,205.36,974.96,82.02,0,0,0,37.47,0,0
fold_s47flcomplexin37_model_0.cif,420.33,334.75,0,993.06,50.2,280.08,226.32,23.38,0,0,0
fold_s47flcomplexin38_model_0.cif,224.04,19.33,0,704.71,0,258.45,0,3.04,55.75,0,0
fold_s47flcomplexin39_model_0.cif,0,0,2.98,701.13,183.82,0,0,88.33,199,0,0
fold_s47flcomplexin3_model_0.cif,0,94.86,0,755.61,38.2,0,232.45,0,0,0,133.56
fold_s47flcomplexin40_model_0.cif,247.01,218.25,0,861.98,0,312.6,263.31,0,0,0,0
fold_s47flcomplexin41_model_0.cif,18.41,216.89,0,479.08,208.92,0,222.46,0,0,0,198.41
fold_s47flcomplexin42_model_0.cif,149.5,0,2.98,590.68,601.31,10.12,0,0,41.61,0,283.01
fold_s47flcomplexin43_model_0.cif,308.23,0,244.17,1037.4,204.76,0,0,0,41.45,0,270.92
fold_s47flcomplexin44_model_0.cif,255.9,156.27,0,610.29,16.08,0,277.22,0,0,0,0
fold_s47flcomplexin45_model_0.cif,62.27,191.94,0,640.85,0,168.21,256.42,0,0,0,0
fold_s47flcomplexin46_model_0.cif,222.69,0,0,509.83,0,342.29,0,50.13,54.18,0,0
fold_s47flcomplexin47_model_0.cif,165.95,226.31,0,901.31,176.85,20.69,0,0,51.45,0,0
