file,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARES,S47_PH2:SYB_SNARES,Syt:S47_SNARES:,Syt:STX3_SNARES:,Syt:SYB_SNARES:
fold_s47ntddelsyt7_10_model_0.cif,0,0,0,836.14,303.02,0
fold_s47ntddelsyt7_11_model_0.cif,0,0,0,832.29,447.14,0
fold_s47ntddelsyt7_12_model_0.cif,394.15,264.24,0,508.78,0,279.33
fold_s47ntddelsyt7_13_model_0.cif,0,0,0,857.93,1.11,84.91
fold_s47ntddelsyt7_14_model_0.cif,6.23,289.45,0,523.44,37.93,11.34
fold_s47ntddelsyt7_15_model_0.cif,0,0,0,1048.2,558.33,0
fold_s47ntddelsyt7_16_model_0.cif,0,0,0,446.69,0,373.03
fold_s47ntddelsyt7_17_model_0.cif,21.06,0,0,511.65,186.77,0
fold_s47ntddelsyt7_18_model_0.cif,60.5,0,0,206.98,0,354.28
fold_s47ntddelsyt7_19_model_0.cif,17.3,47.14,0,1125.4,105.74,59.95
fold_s47ntddelsyt7_1_model_0.cif,410.62,258.41,0,632.17,0,265.01
fold_s47ntddelsyt7_20_model_0.cif,0,0,0,519.52,489.23,6.09
fold_s47ntddelsyt7_21_model_0.cif,213.58,306.53,0,1112.8,29,341.75
fold_s47ntddelsyt7_22_model_0.cif,92.97,739.29,0,556.09,0,168.92
fold_s47ntddelsyt7_23_model_0.cif,51.85,381.4,0,1197.3,296.7,0
fold_s47ntddelsyt7_24_model_0.cif,0,0,0,748.72,398.94,0
fold_s47ntddelsyt7_25_model_0.cif,190.37,0,306.67,827.28,482.92,0
fold_s47ntddelsyt7_26_model_0.cif,300.07,556.03,0,1315.8,174.55,27.14
fold_s47ntddelsyt7_27_model_0.cif,0,0,0,628.79,600.2,9.95
fold_s47ntddelsyt7_28_model_0.cif,0,0,0,736.76,542.81,0
fold_s47ntddelsyt7_29_model_0.cif,0,0,0,880.15,731.92,0
fold_s47ntddelsyt7_2_model_0.cif,61.3,0,4.43,942.05,863.65,0
fold_s47ntddelsyt7_30_model_0.cif,0,0,0,938.68,466.18,0
fold_s47ntddelsyt7_31_model_0.cif,158.68,0,0,255.4,452.31,0
fold_s47ntddelsyt7_32_model_0.cif,0,0,0,819.56,143.5,0
fold_s47ntddelsyt7_33_model_0.cif,0,0,0,958.84,0,296.69
fold_s47ntddelsyt7_34_model_0.cif,0,0,0,953.5,85.99,0
fold_s47ntddelsyt7_35_model_0.cif,348.19,0,2.77,938.56,686.58,0
fold_s47ntddelsyt7_36_model_0.cif,5.65,0,0,630.51,479.58,0
fold_s47ntddelsyt7_37_model_0.cif,0,0,0,953.45,772.73,0
fold_s47ntddelsyt7_38_model_0.cif,20.2,37.48,0,708.45,0,467.44
fold_s47ntddelsyt7_39_model_0.cif,0,0,0,1061.7,617.62,0
fold_s47ntddelsyt7_3_model_0.cif,194.99,0,0,548.25,496.19,0
fold_s47ntddelsyt7_40_model_0.cif,349.38,165.16,0,342.07,0,171.18
fold_s47ntddelsyt7_41_model_0.cif,200.05,309.69,0,879.57,14.37,145.2
fold_s47ntddelsyt7_42_model_0.cif,0,0,0,1110.6,236.21,0
fold_s47ntddelsyt7_43_model_0.cif,68.19,0,17.83,1185.2,115.42,57.72
fold_s47ntddelsyt7_44_model_0.cif,172.31,0,0,520.37,620.8,5.89
fold_s47ntddelsyt7_45_model_0.cif,0,0,0,937.69,654.32,0
fold_s47ntddelsyt7_46_model_0.cif,54.71,0,0,713.88,0,270.66
fold_s47ntddelsyt7_47_model_0.cif,0,0,0,895.27,660.13,0
fold_s47ntddelsyt7_48_model_0.cif,46.03,399.42,29.02,1122.2,0,363.49
fold_s47ntddelsyt7_49_model_0.cif,0,24.79,0,889.11,334.75,0
fold_s47ntddelsyt7_4_model_0.cif,0,279.21,0,423.34,5.44,471.59
fold_s47ntddelsyt7_50_model_0.cif,31.38,307.63,0,1186,47.77,149.9
fold_s47ntddelsyt7_5_model_0.cif,0,0,0,1000.2,696.86,0
fold_s47ntddelsyt7_6_model_0.cif,244.1,422.33,0,1005.8,585.54,0
fold_s47ntddelsyt7_7_model_0.cif,25.41,0,0,917.83,159.69,0
fold_s47ntddelsyt7_8_model_0.cif,0,140.39,0,1257.3,72.34,131.44
fold_s47ntddelsyt7_9_model_0.cif,24.12,425.2,0,1206.9,81.03,37.19
fold_2025_05_22_15_49_rt_ntd_del_complex_1_model_0.cif,0,0,0,879.23,485.32,0
fold_2025_05_22_15_51_rt_ntd_del_complex_2_model_0.cif,0,214.26,0,752.67,105.79,0
fold_2025_05_22_18_21_rt_ntd_del_complex_10_model_0.cif,46.57,0,0,869.32,98.51,25.2
fold_2025_05_22_18_21_rt_ntd_del_complex_11_model_0.cif,0,0,0,979.41,557.74,0
fold_2025_05_22_18_21_rt_ntd_del_complex_12_model_0.cif,105.4,400.1,0,1362.2,121.95,64.97
fold_2025_05_22_18_21_rt_ntd_del_complex_13_model_0.cif,0,0,0,474.18,0,61.63
fold_2025_05_22_18_21_rt_ntd_del_complex_14_model_0.cif,265.66,0,44.46,871.03,598.69,0
fold_2025_05_22_18_21_rt_ntd_del_complex_15_model_0.cif,176.97,0,44.62,612.1,458.89,0
fold_2025_05_22_18_21_rt_ntd_del_complex_3_model_0.cif,0,0,0,861.54,457.99,0
fold_2025_05_22_18_21_rt_ntd_del_complex_4_model_0.cif,0,0,0,590.24,0,238.35
fold_2025_05_22_18_21_rt_ntd_del_complex_5_model_0.cif,352.26,0,0,238.59,398.82,0
fold_2025_05_22_18_21_rt_ntd_del_complex_6_model_0.cif,76.78,308.64,0,297.81,0,416.84
fold_2025_05_22_18_21_rt_ntd_del_complex_7_model_0.cif,0,0,0,503.32,113.89,0
fold_2025_05_22_18_21_rt_ntd_del_complex_8_model_0.cif,0,0,0,1150.1,86.39,123.71
fold_2025_05_22_18_21_rt_ntd_del_complex_9_model_0.cif,2.62,0,110.84,576.09,13.89,772.28
fold_2025_05_22_18_22_rt_ntd_del_complex_17_model_0.cif,225.91,345.5,0,454.18,593.33,7.5
fold_2025_05_22_18_22_rt_ntd_del_complex_18_model_0.cif,51.89,388.77,0,818.12,0,123.01
fold_2025_05_22_18_22_rt_ntd_del_complex_19_model_0.cif,211.05,630.47,0,1295.5,180.11,0
fold_2025_05_22_18_22_rt_ntd_del_complex_20_model_0.cif,0,0,0,934.11,424.02,0
fold_2025_05_22_18_22_rt_ntd_del_complex_21_model_0.cif,91.85,0,130.87,1369.8,118.7,39.35
fold_2025_05_22_18_22_rt_ntd_del_complex_22_model_0.cif,0,0,0,909.27,458.09,0
fold_2025_05_22_18_22_rt_ntd_del_complex_23_model_0.cif,0,202.59,0,761.16,112.47,0
fold_2025_05_22_18_22_rt_ntd_del_complex_24_model_0.cif,0,0,0,950.28,761.69,0
fold_2025_05_22_18_22_rt_ntd_del_complex_25_model_0.cif,444.58,0,241.63,904.78,417.5,0
fold_2025_05_22_18_22_rt_ntd_del_complex_26_model_0.cif,0,0,0,1082.3,669.73,0
fold_2025_05_22_18_22_rt_ntd_del_complex_27_model_0.cif,163.8,0,107.44,783.88,495.17,0
fold_2025_05_22_18_22_rt_ntd_del_complex_28_model_0.cif,0,0,0,752.73,490.83,0
fold_2025_05_22_18_23_rt_ntd_del_complex_29_model_0.cif,19.36,0,0,616.28,0,252.45
fold_2025_05_22_18_23_rt_ntd_del_complex_30_model_0.cif,50.02,268.12,0,722.14,0,337.13
fold_2025_05_23_11_00_rt_ntd_del_complex_31_model_0.cif,0,0,140.37,1201,107.16,27.89
fold_2025_05_23_11_00_rt_ntd_del_complex_32_model_0.cif,9.31,0,0,940.23,142.46,0
fold_2025_05_23_11_00_rt_ntd_del_complex_33_model_0.cif,0,33.65,0,969.79,0,121.75
fold_2025_05_23_11_00_rt_ntd_del_complex_34_model_0.cif,114.95,0,0,268.13,284,0
fold_2025_05_23_11_00_rt_ntd_del_complex_35_model_0.cif,9.78,0,0,525.65,0,282.34
fold_2025_05_23_11_00_rt_ntd_del_complex_36_model_0.cif,50.2,0,0,552.36,0,148.9
fold_2025_05_23_11_00_rt_ntd_del_complex_37_model_0.cif,0,0,0,927.21,394.21,0
fold_2025_05_23_11_01_rt_ntd_del_complex_38_model_0.cif,4.89,0,0,649.78,505.48,0
fold_2025_05_23_11_01_rt_ntd_del_complex_39_model_0.cif,27.11,0,0,1223.9,524.98,0
fold_2025_05_23_11_01_rt_ntd_del_complex_40_model_0.cif,0,0,0,1202.4,133.51,36.35
fold_2025_05_23_11_01_rt_ntd_del_complex_41_model_0.cif,0,0,0,834.04,465.49,6.53
fold_2025_05_23_11_01_rt_ntd_del_complex_42_model_0.cif,378.29,254,0,917.21,0,16.99
fold_2025_05_23_11_01_rt_ntd_del_complex_43_model_0.cif,379.77,200.89,0,716.87,0,209.52
fold_2025_05_23_11_01_rt_ntd_del_complex_44_model_0.cif,210.45,0,0,316.74,0,304.07
fold_2025_05_23_11_01_rt_ntd_del_complex_45_model_0.cif,0,0,0,753.91,344.23,0
fold_2025_05_23_11_01_rt_ntd_del_complex_46_model_0.cif,245.61,365.83,0,1022.5,0,281.31
fold_2025_05_23_11_01_rt_ntd_del_complex_47_model_0.cif,175.96,0,0,266.14,537.5,0
fold_2025_05_23_11_01_rt_ntd_del_complex_48_model_0.cif,173.6,0,0,178.41,469.16,55.76
fold_2025_05_23_11_02_rt_ntd_del_complex_49_model_0.cif,0,0,0,660.64,0,353.59
fold_2025_05_23_11_02_rt_ntd_del_complex_50_model_0.cif,296.36,0,270.56,1214.7,134.11,78.27
